,_id,actions,spend,impressions,clicks,cpc,cpm,ctr,date_start,date_stop,publisher_platform,platform_position,post_engagement,page_engagement,video_view,link_click,campaign_id,post_reaction,post,landing_page_view,cpl,lead,onsite_conversion.lead_grouped,offsite_conversion.fb_pixel_custom,comment,like,onsite_conversion.post_save,onsite_conversion.messaging_first_reply,onsite_conversion.messaging_conversation_started_7d,onsite_conversion.total_messaging_connection,onsite_conversion.messaging_user_depth_2_message_send,onsite_conversion.messaging_conversation_replied_7d,onsite_conversion.messaging_user_depth_3_message_send
459,66d7e310b3fdb1cfea4461b1,"[{'action_type': 'post_engagement', 'value': '27'}, {'action_type': 'page_engagement', 'value': '27'}, {'action_type': 'lead', 'value': '2'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '2'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '2'}, {'action_type': 'link_click', 'value': '27'}]",88.180008,1592,29,3.04069,55.389452,1.821608,2024-05-23,2024-07-21,facebook,marketplace,27.0,27.0,,27.0,120210058205520764,,,,44.090004,2.0,2.0,2.0,,,,,,,,,
460,66d7e310b3fdb1cfea4461b2,"[{'action_type': 'post_engagement', 'value': '3'}, {'action_type': 'page_engagement', 'value': '3'}, {'action_type': 'lead', 'value': '1'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '1'}, {'action_type': 'post_reaction', 'value': '1'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '1'}, {'action_type': 'link_click', 'value': '2'}]",13.537719,319,3,4.512573,42.437992,0.940439,2024-05-23,2024-07-21,facebook,search,3.0,3.0,,2.0,120210058205520764,1.0,,,13.537719,1.0,1.0,1.0,,,,,,,,,
461,66d7e310b3fdb1cfea4461b3,"[{'action_type': 'post_engagement', 'value': '90'}, {'action_type': 'onsite_conversion.post_save', 'value': '2'}, {'action_type': 'page_engagement', 'value': '91'}, {'action_type': 'lead', 'value': '12'}, {'action_type': 'like', 'value': '1'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '12'}, {'action_type': 'post_reaction', 'value': '4'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '15'}, {'action_type': 'link_click', 'value': '84'}]",450.751104,7130,136,3.314346,63.218949,1.907433,2024-05-23,2024-07-21,facebook,video_feeds,90.0,91.0,,84.0,120210058205520764,4.0,,,37.562592,12.0,12.0,15.0,,1.0,2.0,,,,,,
462,66d7e310b3fdb1cfea4461b4,"[{'action_type': 'post_engagement', 'value': '15'}, {'action_type': 'onsite_conversion.post_save', 'value': '1'}, {'action_type': 'comment', 'value': '1'}, {'action_type': 'page_engagement', 'value': '15'}, {'action_type': 'lead', 'value': '5'}, {'action_type': 'post', 'value': '1'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '5'}, {'action_type': 'post_reaction', 'value': '7'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '6'}, {'action_type': 'link_click', 'value': '5'}]",176.280089,1062,15,11.752006,165.988784,1.412429,2024-05-23,2024-07-21,instagram,feed,15.0,15.0,,5.0,120210058205520764,7.0,1.0,,35.2560178,5.0,5.0,6.0,1.0,,1.0,,,,,,
463,66d7e310b3fdb1cfea4461b5,"[{'action_type': 'post_engagement', 'value': '3'}, {'action_type': 'page_engagement', 'value': '3'}, {'action_type': 'lead', 'value': '1'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '1'}, {'action_type': 'link_click', 'value': '3'}]",7.063592,86,4,1.765898,82.134794,4.651163,2024-05-23,2024-07-21,instagram,instagram_explore,3.0,3.0,,3.0,120210058205520764,,,,7.063592,1.0,1.0,,,,,,,,,,
464,66d7e310b3fdb1cfea4461b6,"[{'action_type': 'post_engagement', 'value': '1'}, {'action_type': 'page_engagement', 'value': '1'}, {'action_type': 'link_click', 'value': '1'}]",4.815632,38,1,4.815632,126.727146,2.631579,2024-05-23,2024-07-21,instagram,instagram_profile_feed,1.0,1.0,,1.0,120210058205520764,,,,,,,,,,,,,,,,
465,66d7e310b3fdb1cfea4461b7,"[{'action_type': 'post_engagement', 'value': '35'}, {'action_type': 'comment', 'value': '1'}, {'action_type': 'page_engagement', 'value': '35'}, {'action_type': 'lead', 'value': '9'}, {'action_type': 'post', 'value': '3'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '9'}, {'action_type': 'post_reaction', 'value': '6'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '10'}, {'action_type': 'link_click', 'value': '25'}]",468.355135,3680,50,9.367103,127.270417,1.358696,2024-05-23,2024-07-21,instagram,instagram_reels,35.0,35.0,,25.0,120210058205520764,6.0,3.0,,52.03945944444445,9.0,9.0,10.0,1.0,,,,,,,,
466,66d7e310b3fdb1cfea4461b8,"[{'action_type': 'post_engagement', 'value': '22'}, {'action_type': 'page_engagement', 'value': '22'}, {'action_type': 'lead', 'value': '13'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '13'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '10'}, {'action_type': 'link_click', 'value': '22'}]",296.770787,1703,38,7.809758,174.263527,2.231356,2024-05-23,2024-07-21,instagram,instagram_stories,22.0,22.0,,22.0,120210058205520764,,,,22.828522076923075,13.0,13.0,10.0,,,,,,,,,
467,66d7e310b3fdb1cfea4461b9,"[{'action_type': 'post_engagement', 'value': '3'}, {'action_type': 'page_engagement', 'value': '3'}, {'action_type': 'post_reaction', 'value': '1'}, {'action_type': 'link_click', 'value': '2'}]",8.248725,470,3,2.749575,17.55048,0.638298,2024-05-21,2024-07-11,facebook,facebook_profile_feed,3.0,3.0,,2.0,120209994158980764,1.0,,,,,,,,,,,,,,,
468,66d7e310b3fdb1cfea4461ba,"[{'action_type': 'post_engagement', 'value': '13'}, {'action_type': 'page_engagement', 'value': '13'}, {'action_type': 'lead', 'value': '5'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '5'}, {'action_type': 'post_reaction', 'value': '2'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '10'}, {'action_type': 'link_click', 'value': '11'}]",1847.814474,3891,33,55.994378,474.894493,0.848111,2024-05-21,2024-07-11,facebook,facebook_reels,13.0,13.0,,11.0,120209994158980764,2.0,,,369.5628948,5.0,5.0,10.0,,,,,,,,,
