,_id,actions,spend,impressions,clicks,cpc,cpm,ctr,date_start,date_stop,age,gender,post_engagement,page_engagement,video_view,campaign_id,post,post_reaction,link_click,landing_page_view,cpl,lead,onsite_conversion.lead_grouped,offsite_conversion.fb_pixel_custom,comment,onsite_conversion.post_save,like,onsite_conversion.messaging_first_reply,onsite_conversion.messaging_conversation_started_7d,onsite_conversion.total_messaging_connection,onsite_conversion.messaging_user_depth_2_message_send,onsite_conversion.messaging_conversation_replied_7d,onsite_conversion.messaging_user_depth_3_message_send
456,66d7e30cb3fdb1cfea445e97,"[{'action_type': 'post_engagement', 'value': '86'}, {'action_type': 'onsite_conversion.post_save', 'value': '1'}, {'action_type': 'page_engagement', 'value': '86'}, {'action_type': 'lead', 'value': '12'}, {'action_type': 'post', 'value': '1'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '12'}, {'action_type': 'post_reaction', 'value': '11'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '6'}, {'action_type': 'link_click', 'value': '73'}]",5390.639048,17130,175,30.803652,314.689962,1.0216,2024-04-16,2024-06-14,45-54,male,86.0,86.0,,120208715543720764,1.0,11.0,73.0,,449.21992066666667,12.0,12.0,6.0,,1.0,,,,,,,
457,66d7e30cb3fdb1cfea445e98,,36.691401,110,0,,333.558188,0,2024-04-16,2024-06-14,45-54,unknown,,,,120208715543720764,,,,,,,,,,,,,,,,,
458,66d7e30cb3fdb1cfea445e99,"[{'action_type': 'post_engagement', 'value': '2'}, {'action_type': 'page_engagement', 'value': '2'}, {'action_type': 'post', 'value': '1'}, {'action_type': 'link_click', 'value': '1'}]",154.917027,450,3,51.639009,344.260061,0.666667,2024-04-16,2024-06-14,55-64,female,2.0,2.0,,120208715543720764,1.0,,1.0,,,,,,,,,,,,,,
459,66d7e30cb3fdb1cfea445e9a,"[{'action_type': 'post_engagement', 'value': '23'}, {'action_type': 'page_engagement', 'value': '23'}, {'action_type': 'lead', 'value': '3'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '3'}, {'action_type': 'post_reaction', 'value': '3'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '1'}, {'action_type': 'link_click', 'value': '20'}]",1243.791531,3916,48,25.912324,317.617858,1.225741,2024-04-16,2024-06-14,55-64,male,23.0,23.0,,120208715543720764,,3.0,20.0,,414.59717700000004,3.0,3.0,1.0,,,,,,,,,
460,66d7e30cb3fdb1cfea445e9b,,80.775025,54,2,40.387512,1495.83379,3.703704,2024-04-16,2024-06-14,55-64,unknown,,,,120208715543720764,,,,,,,,,,,,,,,,,
461,66d7e30cb3fdb1cfea445e9c,"[{'action_type': 'post_engagement', 'value': '50'}, {'action_type': 'page_engagement', 'value': '50'}, {'action_type': 'post_reaction', 'value': '35'}, {'action_type': 'link_click', 'value': '15'}]",536.562769,7664,28,19.162956,70.0108,0.365344,2024-04-12,2024-06-15,18-24,female,50.0,50.0,,120208544107320764,,35.0,15.0,,,,,,,,,,,,,,
462,66d7e30cb3fdb1cfea445e9d,"[{'action_type': 'post_engagement', 'value': '171'}, {'action_type': 'onsite_conversion.post_save', 'value': '5'}, {'action_type': 'page_engagement', 'value': '171'}, {'action_type': 'lead', 'value': '5'}, {'action_type': 'post', 'value': '2'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '5'}, {'action_type': 'post_reaction', 'value': '117'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '2'}, {'action_type': 'link_click', 'value': '47'}]",3824.476528,28092,91,42.027215,136.141127,0.323936,2024-04-12,2024-06-15,18-24,male,171.0,171.0,,120208544107320764,2.0,117.0,47.0,,764.8953056,5.0,5.0,2.0,,5.0,,,,,,,
463,66d7e30cb3fdb1cfea445e9e,"[{'action_type': 'post_engagement', 'value': '2'}, {'action_type': 'page_engagement', 'value': '2'}, {'action_type': 'post_reaction', 'value': '2'}]",11.504485,269,0,,42.767601,0,2024-04-12,2024-06-15,18-24,unknown,2.0,2.0,,120208544107320764,,2.0,,,,,,,,,,,,,,,
464,66d7e30cb3fdb1cfea445e9f,"[{'action_type': 'post_engagement', 'value': '64'}, {'action_type': 'onsite_conversion.post_save', 'value': '1'}, {'action_type': 'page_engagement', 'value': '64'}, {'action_type': 'lead', 'value': '11'}, {'action_type': 'post', 'value': '1'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '11'}, {'action_type': 'post_reaction', 'value': '13'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '2'}, {'action_type': 'link_click', 'value': '49'}]",11098.079528,11186,71,156.310979,992.140133,0.634722,2024-04-12,2024-06-15,25-34,female,64.0,64.0,,120208544107320764,1.0,13.0,49.0,,1008.9163207272727,11.0,11.0,2.0,,1.0,,,,,,,
465,66d7e30cb3fdb1cfea445ea0,"[{'action_type': 'post_engagement', 'value': '164'}, {'action_type': 'onsite_conversion.post_save', 'value': '2'}, {'action_type': 'comment', 'value': '1'}, {'action_type': 'page_engagement', 'value': '164'}, {'action_type': 'lead', 'value': '17'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '17'}, {'action_type': 'post_reaction', 'value': '72'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '7'}, {'action_type': 'link_click', 'value': '89'}]",25620.217546,33730,165,155.274046,759.567671,0.489179,2024-04-12,2024-06-15,25-34,male,164.0,164.0,,120208544107320764,,72.0,89.0,,1507.0716203529412,17.0,17.0,7.0,1.0,2.0,,,,,,,
