,_id,asset_text,spend,impressions,clicks,link_click,post_engagement,lead,page_engagement,post_reaction,video_view,cpm,cpc,ctr,cpl,ctl,campaign_id,onsite_conversion.lead_grouped,offsite_conversion.fb_pixel_custom,landing_page_view,comment,like,post,onsite_conversion.post_save,onsite_conversion.messaging_first_reply,onsite_conversion.total_messaging_connection,onsite_conversion.messaging_user_depth_2_message_send,onsite_conversion.messaging_conversation_replied_7d,onsite_conversion.messaging_user_depth_3_message_send
57,66d7e314b3fdb1cfea4463f3,Premium 2BHK at 84L+,173.905821,325.0,4.0,1.0,3.0,0.0,3.0,2.0,,535.0948338461538,43.47645525,0.012307692307692308,,,120211318900910764,,,,,,,,,,,,
58,66d7e314b3fdb1cfea4463f4,Luxury Villas Starting at 1.5 Cr,94.845404,380.0,9.0,0.0,0.0,0.0,0.0,0.0,,249.5931684210526,10.538378222222223,0.02368421052631579,,,120211258253310764,,,,,,,,,,,,
59,66d7e314b3fdb1cfea4463f5,Secure Your Exclusive Villa Now,658.768078,2071.0,42.0,9.0,12.0,0.0,12.0,3.0,,318.0917807822308,15.684954238095237,0.020280057943022695,,,120211258253310764,,,,,,,,,,,,
60,66d7e314b3fdb1cfea4463f6,Live Amidst Aravalli Hills,448.888248,1890.0,33.0,5.0,8.0,1.0,8.0,3.0,,237.5070095238095,13.60267418181818,0.01746031746031746,448.888248,33.0,120211258253310764,1.0,1.0,,,,,,,,,,
61,66d7e314b3fdb1cfea4463f7,3BHK+Utility Starting 1.5 Cr,351.02299,2038.0,13.0,8.0,14.0,0.0,14.0,6.0,,172.23895485770362,27.00176846153846,0.006378802747791953,,,120211258253310764,,,,,,,,,,,,
62,66d7e314b3fdb1cfea4463f8,Luxury Flats in Gurgaon,260.087397,1127.0,8.0,3.0,6.0,0.0,6.0,3.0,,230.77852440106477,32.510924625,0.00709849157054126,,,120211258253310764,,,,,,,,,,,,
63,66d7e314b3fdb1cfea4463f9,Luxury 3BHK Starting at 1.5 Cr,9.679531,63.0,0.0,0.0,0.0,0.0,0.0,0.0,,153.64334920634923,,0.0,,,120211258253310764,,,,,,,,,,,,
64,66d7e314b3fdb1cfea4463fa,3.5 BHK Luxury Floors Starting at 1.5 Cr,113.634494,477.0,8.0,7.0,10.0,0.0,10.0,2.0,,238.22745073375265,14.20431175,0.016771488469601678,,,120211258253310764,,,,,,1.0,,,,,,
65,66d7e314b3fdb1cfea4463fb,3.5 BHK  1.5 Cr onwards,33.098396,89.0,2.0,1.0,1.0,0.0,1.0,0.0,,371.89208988764045,16.549198,0.02247191011235955,,,120211258253310764,,,,,,,,,,,,
66,66d7e314b3fdb1cfea4463fc,Luxury Floors Starting 1.5 Cr,213.869636,228.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,938.0247192982457,,0.0,,,120211258253310764,,,,,,,,,,,,
67,66d7e314b3fdb1cfea4463fd,Luxury Floors Starting at 1.5 Cr,911.605826,3767.0,32.0,17.0,24.0,0.0,24.0,5.0,,241.99783010353067,28.4876820625,0.008494823466949828,,,120211258253310764,,,,,,2.0,,1.0,,,,
68,66d7e314b3fdb1cfea4463fe,Invest Now: Satya The Hive,1688.393642,5582.0,58.0,25.0,993.0,3.0,993.0,8.0,960.0,302.4710931565747,29.11023520689655,0.010390541024722321,562.7978806666666,19.333333333333332,120211112693250764,3.0,1.0,,,,,,,,,,
69,66d7e314b3fdb1cfea4463ff,Sec 102: Retail Spaces Ready,1267.054078,4588.0,42.0,13.0,888.0,5.0,888.0,7.0,868.0,276.16697428073235,30.167954238095234,0.009154315605928508,253.41081559999998,8.4,120211112693250764,5.0,,,,,,,,,,,
70,66d7e314b3fdb1cfea446400,Prime Shops at Satya The Hive,1971.303619,3278.0,64.0,36.0,603.0,6.0,603.0,6.0,561.0,601.3738923123856,30.801619046875,0.019524100061012812,328.5506031666667,10.666666666666666,120211112693250764,6.0,,,,,,,,,,,
